id	name	artist	album	total_seconds	comment
20On9fuyxZiWe8bv5qn3HX	Rebels	Cellar Darling	This Is the Sound	334	
1IHFzv7Gt1dvjZ8zwqXUZ2	Starcrusher	Cellar Darling	This Is the Sound	200	
3i1T0B2MDLA3CqfrExzAyj	Avalanche	Cellar Darling	This Is the Sound	248	
4NUpJXKUR7owHujt7fJ1jY	Black Moon	Cellar Darling	This Is the Sound	252	
3Gs4LeZ9WAIjVvxXzJNNXw	Challenge	Cellar Darling	This Is the Sound	218	
3PRZrW3sWrMeu0chP5VQvs	Hullaballoo	Cellar Darling	This Is the Sound	215	
2JHURpBSIHz1m2QM4jOHGK	The Hermit	Cellar Darling	This Is the Sound	195	
1tP05rY6M27DTGBXUXM4XF	Fire, Wind & Earth	Cellar Darling	This Is the Sound	281	
3DAoIA45Yu6omgN3hdISGN	Under the Oak Tree...	Cellar Darling	This Is the Sound	253	
4mCpauEsupH3Pg14ThWr7h	Hedonia	Cellar Darling	This Is the Sound	448	
6sgVx9J04tBP7eJDLLNwz5	Redemption	Cellar Darling	This Is the Sound	319	
41imyUoUySj8pQaalwI2gB	Pain	Cellar Darling	The Spell	267	
2cHn47D7I6rjiRgGOMT7BT	Love	Cellar Darling	The Spell	311	
4hehHLQ2tlIbuMQLCIVl6d	The Spell	Cellar Darling	The Spell	281	
73b12CBkQMwBErueqdm07c	Burn	Cellar Darling	The Spell	308	
290TuntCLFPxzsD4WVLOGl	Hang	Cellar Darling	The Spell	273	
0X9HWtG2ay2LuZfka4WebB	Insomnia	Cellar Darling	The Spell	412	
67kUuyqvf7YTSzPSrFyatG	Freeze	Cellar Darling	The Spell	217	
0uhh7ovcSJcunZczDYz13n	Drown	Cellar Darling	The Spell	431	
6aRMWVcOU8eDOvRbwpQRxz	Love, Pt. II	Cellar Darling	The Spell	301	
7BjDcDgniMogpK2dZZ5IbD	Deathwalker	Eluveitie	Ategnatos	293	
1DTIkFaIHahCC4D03tpYbr	Mine Is the Fury	Eluveitie	Ategnatos	213	
0plxN3RAOKckq5IKf3jQQ7	The Slumber	Eluveitie	Ategnatos	296	
1pPuNbebubVqqZ04QMVpf1	Breathe	Eluveitie	Ategnatos	328	
0t8vVaCcJogcPZdV32Vono	Rebirth	Eluveitie	Ategnatos	298	
2atz0snA2haHPVbwNUmWeJ	Worship	Eluveitie	Ategnatos	334	
7c3CrFsPSlqWmEfTmnppI6	A Cry in the Wilderness	Eluveitie	Ategnatos	324	
5VMFk0Bfp1CTvGnCdD3Gjq	The Raven Hill	Eluveitie	Ategnatos	252	
3UQoXdT9h9PgoVPCy2jByy	Threefold Death	Eluveitie	Ategnatos	211	
3HGtYtYbvpj425hKA7PlgE	The Nameless	Eluveitie	Origins	252	
08Bceg7fhMMWkGeArDGaes	From Darkness	Eluveitie	Origins	251	
5dEa9zVQAyBpTgdYxaCGg3	Celtos	Eluveitie	Origins	237	
